run_id,target_line,run_number,depth_max,xdepth_max,mul_total,relin_total,mod_switch_total,he_add_total,rotate_total,rotation_keys,relin_keys,execution_time_ms,noise,llm_benchmark_compile_time_ms
313,3552,1,7,2,35,35,35,35,35,0,1,287.129,42,150.941
314,3552,2,7,2,35,35,35,35,35,0,1,286.276,42,150.077
315,3552,3,7,2,35,35,35,35,35,0,1,286.414,42,148.824
316,3553,1,13,5,12,12,12,12,12,1,1,286.279,42,37934.1
317,3553,2,13,5,12,12,12,12,12,1,1,286.494,42,38881.3
318,3553,3,13,5,12,12,12,12,12,1,1,286.815,42,38979.9
319,3554,1,5,2,7,7,7,7,7,0,1,286.15,42,177.124
320,3554,2,5,2,7,7,7,7,7,0,1,287.098,42,163.232
321,3554,3,5,2,7,7,7,7,7,0,1,286.298,42,163.039
322,3555,1,5,2,9,9,9,9,9,0,1,286.458,41,171.165
323,3555,2,5,2,9,9,9,9,9,0,1,286.679,42,171.373
324,3555,3,5,2,9,9,9,9,9,0,1,286.458,42,168.772
325,3556,1,6,1,24,24,24,24,24,0,1,285.69,42,146.581
326,3556,2,6,1,24,24,24,24,24,0,1,286.328,42,150.353
327,3556,3,6,1,24,24,24,24,24,0,1,286.647,42,146.182
328,3557,1,3,2,2,2,2,2,2,0,1,286.597,42,141.18
329,3557,2,3,2,2,2,2,2,2,0,1,286.372,41,143.95
330,3557,3,3,2,2,2,2,2,2,0,1,285.833,42,142.208
331,3558,1,7,1,26,26,26,26,26,0,1,285.816,42,145.776
332,3558,2,7,1,26,26,26,26,26,0,1,285.881,41,146.636
333,3558,3,7,1,26,26,26,26,26,0,1,286.454,41,147.113
334,3559,1,11,5,19,19,19,19,19,0,1,285.981,42,26708.1
335,3559,2,11,5,19,19,19,19,19,0,1,286.552,42,26506.1
336,3559,3,11,5,19,19,19,19,19,0,1,286.615,41,26094.9
337,3560,1,7,3,17,17,17,17,17,0,1,286.314,42,9554.87
338,3560,2,7,3,17,17,17,17,17,0,1,286.969,42,9506.85
339,3560,3,7,3,17,17,17,17,17,0,1,286.578,42,9607.76
340,3561,1,5,2,4,4,4,4,4,1,1,286.405,41,161.115
341,3561,2,5,2,4,4,4,4,4,1,1,286.55,41,145.089
342,3561,3,5,2,4,4,4,4,4,1,1,287.444,42,146.466
343,3562,1,3,1,3,3,3,3,3,0,1,286.809,42,148.841
344,3562,2,3,1,3,3,3,3,3,0,1,286.858,42,150.87
345,3562,3,3,1,3,3,3,3,3,0,1,286.682,42,149.264
346,3563,1,6,1,22,22,22,22,22,0,1,286.985,42,146.705
347,3563,2,6,1,22,22,22,22,22,0,1,287.032,42,144.677
348,3563,3,6,1,22,22,22,22,22,0,1,286.899,42,143.492
349,3564,1,3,1,2,2,2,2,2,0,1,286.536,42,193.396
350,3564,2,3,1,2,2,2,2,2,0,1,286.412,41,193.923
351,3564,3,3,1,2,2,2,2,2,0,1,286.823,42,194.749
352,3565,1,5,1,4,4,4,4,4,1,1,287.109,42,660.777
353,3565,2,5,1,4,4,4,4,4,1,1,286.864,42,654.769
354,3565,3,5,1,4,4,4,4,4,1,1,287.557,42,658.676
355,3566,1,4,2,3,3,3,3,3,0,1,286.91,42,220.619
356,3566,2,4,2,3,3,3,3,3,0,1,286.597,42,210.924
357,3566,3,4,2,3,3,3,3,3,0,1,286.843,41,206.177
358,3567,1,5,2,3,3,3,3,3,1,1,286.988,41,539.728
359,3567,2,5,2,3,3,3,3,3,1,1,287.248,41,540.563
360,3567,3,5,2,3,3,3,3,3,1,1,286.936,42,539.213
361,3568,1,4,1,4,4,4,4,4,0,1,286.809,42,170.308
362,3568,2,4,1,4,4,4,4,4,0,1,286.545,41,171.972
363,3568,3,4,1,4,4,4,4,4,0,1,288.139,42,171.236
364,3569,1,7,3,8,8,8,8,8,0,1,286.93,42,271.613
365,3569,2,7,3,8,8,8,8,8,0,1,286.147,41,270.478
366,3569,3,7,3,8,8,8,8,8,0,1,286.202,42,269.487
367,3570,1,6,2,7,7,7,7,7,0,1,286.527,42,286.098
368,3570,2,6,2,7,7,7,7,7,0,1,286.426,41,285.947
369,3570,3,6,2,7,7,7,7,7,0,1,286.944,41,283.892
370,3571,1,7,2,9,9,9,9,9,1,1,286.834,42,1450.45
371,3571,2,7,2,9,9,9,9,9,1,1,286.151,42,1439.0
372,3571,3,7,2,9,9,9,9,9,1,1,286.487,41,1444.13
373,3572,1,7,3,9,9,9,9,9,1,1,286.639,41,259.377
374,3572,2,7,3,9,9,9,9,9,1,1,286.715,42,262.59
375,3572,3,7,3,9,9,9,9,9,1,1,287.052,42,261.241
376,3573,1,6,2,8,8,8,8,8,1,1,286.919,42,154.515
377,3573,2,6,2,9,9,9,9,9,1,1,286.776,42,155.133
378,3573,3,6,2,9,9,9,9,9,1,1,285.841,42,152.944
379,3574,1,4,2,3,3,3,3,3,0,1,286.119,42,206.234
380,3574,2,4,2,3,3,3,3,3,0,1,286.559,41,202.042
381,3574,3,4,2,3,3,3,3,3,0,1,285.789,42,204.098
382,3575,1,4,1,6,6,6,6,6,0,1,285.83,41,169.768
383,3575,2,4,1,6,6,6,6,6,0,1,286.934,41,167.357
384,3575,3,4,1,6,6,6,6,6,0,1,286.414,42,184.31
385,3576,1,8,3,8,8,8,8,8,2,1,287.505,42,186.82
386,3576,2,8,3,8,8,8,8,8,2,1,286.234,41,186.611
387,3576,3,8,3,8,8,8,8,8,2,1,286.495,42,186.048
