program_name,variant_type,op_count_or_size,poly_modulus_degree,coeff_modulus_size_bits,plain_modulus_bit_size,coeff_modulus_prime_bits_csv,depth,mul_depth,ct_ct_muls,relinearizations,rotations,ct_ct_adds,pl_ct_muls,pl_ct_adds,median_execution_time_us
rotate,scalar,500,16384,260,25,"50,40,40,40,40,50",500,0,0,0,500,0,0,0,9234563
rotate,scalar,750,16384,260,25,"50,40,40,40,40,50",750,0,0,0,750,0,0,0,13859768
rotate,scalar,1000,16384,260,25,"50,40,40,40,40,50",1000,0,0,0,1000,0,0,0,18484411
rotate,scalar,1,16384,270,18,"60,50,50,50,60",1,0,0,0,1,0,0,0,14242
rotate,scalar,10,16384,270,18,"60,50,50,50,60",10,0,0,0,10,0,0,0,134222
rotate,scalar,50,16384,270,18,"60,50,50,50,60",50,0,0,0,50,0,0,0,666273
rotate,scalar,80,16384,270,18,"60,50,50,50,60",80,0,0,0,80,0,0,0,1064297
rotate,scalar,100,16384,270,18,"60,50,50,50,60",100,0,0,0,100,0,0,0,1333259
rotate,scalar,250,16384,270,18,"60,50,50,50,60",250,0,0,0,250,0,0,0,3333151
rotate,scalar,500,16384,270,18,"60,50,50,50,60",500,0,0,0,500,0,0,0,6653850
rotate,scalar,750,16384,270,18,"60,50,50,50,60",750,0,0,0,750,0,0,0,9974638
rotate,scalar,1000,16384,270,18,"60,50,50,50,60",1000,0,0,0,1000,0,0,0,13333710
rotate,scalar,1,16384,270,20,"60,50,50,50,60",1,0,0,0,1,0,0,0,14199
rotate,scalar,10,16384,270,20,"60,50,50,50,60",10,0,0,0,10,0,0,0,134279
rotate,scalar,50,16384,270,20,"60,50,50,50,60",50,0,0,0,50,0,0,0,667142
rotate,scalar,80,16384,270,20,"60,50,50,50,60",80,0,0,0,80,0,0,0,1066533
rotate,scalar,100,16384,270,20,"60,50,50,50,60",100,0,0,0,100,0,0,0,1333218
rotate,scalar,250,16384,270,20,"60,50,50,50,60",250,0,0,0,250,0,0,0,3332836
rotate,scalar,500,16384,270,20,"60,50,50,50,60",500,0,0,0,500,0,0,0,6665432
rotate,scalar,750,16384,270,20,"60,50,50,50,60",750,0,0,0,750,0,0,0,9982437
rotate,scalar,1000,16384,270,20,"60,50,50,50,60",1000,0,0,0,1000,0,0,0,13299533
rotate,scalar,1,16384,270,25,"60,50,50,50,60",1,0,0,0,1,0,0,0,14205
rotate,scalar,10,16384,270,25,"60,50,50,50,60",10,0,0,0,10,0,0,0,133909
rotate,scalar,50,16384,270,25,"60,50,50,50,60",50,0,0,0,50,0,0,0,665873
rotate,scalar,80,16384,270,25,"60,50,50,50,60",80,0,0,0,80,0,0,0,1065154
