run_id,target_line,run_number,depth_max,xdepth_max,mul_total,relin_total,mod_switch_total,he_add_total,rotate_total,rotation_keys,relin_keys,execution_time_ms,noise,llm_benchmark_compile_time_ms
166,56,1,2,1,2,2,2,2,2,0,1,287.19,41,157.356
167,56,2,2,1,2,2,2,2,2,0,1,286.799,41,154.922
168,56,3,2,1,2,2,2,2,2,0,1,287.668,41,152.078
169,57,1,5,2,4,4,4,4,4,0,1,287.578,42,259.079
170,57,2,5,2,4,4,4,4,4,0,1,290.09,42,260.54
171,57,3,5,2,4,4,4,4,4,0,1,289.575,42,278.994
172,58,1,3,1,4,4,4,4,4,0,1,287.108,42,158.041
173,58,2,3,1,4,4,4,4,4,0,1,287.11,42,154.571
174,58,3,3,1,4,4,4,4,4,0,1,286.783,42,147.415
175,59,1,4,1,6,6,6,6,6,0,1,288.042,41,158.12
176,59,2,4,1,6,6,6,6,6,0,1,289.516,41,155.36
177,59,3,4,1,6,6,6,6,6,0,1,288.634,42,157.689
178,60,1,7,2,29,29,29,29,29,0,1,287.142,41,156.429
179,60,2,7,2,29,29,29,29,29,0,1,287.075,42,159.777
180,60,3,7,2,29,29,29,29,29,0,1,287.2,42,161.342
181,61,1,6,2,5,5,5,5,5,1,1,287.231,42,578.182
182,61,2,6,2,5,5,5,5,5,1,1,289.395,41,577.316
183,61,3,6,2,5,5,5,5,5,1,1,289.457,42,579.826
184,62,1,2,1,2,2,2,2,2,0,1,289.801,42,191.378
185,62,2,2,1,2,2,2,2,2,0,1,287.22,42,183.399
186,62,3,2,1,2,2,2,2,2,0,1,286.884,42,199.883
187,63,1,6,1,23,23,23,23,23,0,1,287.03,42,162.447
188,63,2,6,1,23,23,23,23,23,0,1,287.152,42,162.957
189,63,3,6,1,23,23,23,23,23,0,1,289.858,42,162.852
190,64,1,6,2,7,7,7,7,7,1,1,289.23,42,269.121
191,64,2,6,2,7,7,7,7,7,1,1,286.944,42,269.87
192,64,3,6,2,7,7,7,7,7,1,1,286.955,41,270.812
193,65,1,4,1,11,11,11,11,11,0,1,287.181,42,144.207
194,65,2,4,1,11,11,11,11,11,0,1,290.565,41,147.162
195,65,3,4,1,11,11,11,11,11,0,1,291.322,41,157.326
196,66,1,6,2,5,5,5,5,5,1,1,289.596,42,169.885
197,66,2,6,2,5,5,5,5,5,1,1,289.267,42,170.604
198,66,3,6,2,5,5,5,5,5,1,1,287.153,42,168.316
199,67,1,2,1,2,2,2,2,2,0,1,287.013,41,163.058
200,67,2,2,1,2,2,2,2,2,0,1,286.857,42,163.313
201,67,3,2,1,2,2,2,2,2,0,1,286.973,41,193.0
202,68,1,5,2,4,4,4,4,4,1,1,289.853,41,157.045
203,68,2,5,2,4,4,4,4,4,1,1,289.527,42,162.909
204,68,3,5,2,4,4,4,4,4,1,1,287.242,41,157.042
205,69,1,9,4,19,19,19,19,19,0,1,294.997,42,7626.51
206,69,2,9,4,19,19,19,19,19,0,1,287.077,42,7640.79
207,69,3,9,4,19,19,19,19,19,0,1,286.689,42,7506.9
208,70,1,6,2,5,5,5,5,5,1,1,289.241,42,1914.45
209,70,2,6,2,5,5,5,5,5,1,1,290.84,42,1900.36
210,70,3,6,2,5,5,5,5,5,1,1,286.46,42,1967.5
211,71,1,8,3,7,7,7,7,7,0,1,287.013,42,2748.51
212,71,2,8,3,7,7,7,7,7,0,1,289.25,42,2526.19
213,71,3,8,3,7,7,7,7,7,0,1,287.059,41,2479.06
214,72,1,3,1,5,5,5,5,5,0,1,290.77,41,158.924
215,72,2,3,1,5,5,5,5,5,0,1,289.247,41,157.849
216,72,3,3,1,5,5,5,5,5,0,1,287.218,42,160.236
217,73,1,4,2,6,6,6,6,6,0,1,287.297,42,156.868
218,73,2,4,2,6,6,6,6,6,0,1,287.054,42,154.633
219,73,3,4,2,6,6,6,6,6,0,1,286.715,41,155.334
220,74,1,3,0,2,2,2,2,2,1,0,291.039,42,156.446
221,74,2,3,0,2,2,2,2,2,1,0,289.708,42,155.913
222,74,3,3,0,2,2,2,2,2,1,0,287.057,41,160.416
223,75,1,7,4,6,6,6,6,6,0,1,287.216,42,703.883
224,75,2,7,4,6,6,6,6,6,0,1,286.536,41,690.512
225,75,3,7,4,6,6,6,6,6,0,1,287.088,42,658.078
226,76,1,8,3,4,4,4,4,4,1,1,287.319,41,9681.42
227,76,2,8,3,4,4,4,4,4,1,1,290.187,41,9729.0
228,76,3,8,3,4,4,4,4,4,1,1,289.162,41,10035.5
229,77,1,7,2,10,10,10,10,10,0,1,289.05,42,550.351
230,77,2,7,2,10,10,10,10,10,0,1,290.912,42,537.118
231,77,3,7,2,10,10,10,10,10,0,1,287.518,42,564.317
232,78,1,2,1,2,2,2,2,2,0,1,287.578,42,164.979
233,78,2,2,1,2,2,2,2,2,0,1,287.755,41,165.186
234,78,3,2,1,2,2,2,2,2,0,1,287.634,41,165.392
235,79,1,3,1,4,4,4,4,4,0,1,287.554,41,153.728
236,79,2,3,1,4,4,4,4,4,0,1,287.784,41,159.903
237,79,3,3,1,4,4,4,4,4,0,1,287.448,41,157.23
238,80,1,5,2,4,4,4,4,4,1,1,287.044,41,162.74
239,80,2,5,2,4,4,4,4,4,1,1,287.451,42,163.253
240,80,3,5,2,4,4,4,4,4,1,1,287.287,42,162.296
241,81,1,4,1,5,5,5,5,5,0,1,287.19,42,159.937
242,81,2,4,1,5,5,5,5,5,0,1,287.092,42,160.423
243,81,3,4,1,5,5,5,5,5,0,1,287.184,42,161.785
244,82,1,6,2,6,6,6,6,6,1,1,287.026,41,456.825
245,82,2,6,2,6,6,6,6,6,1,1,287.253,42,465.514
246,82,3,6,2,6,6,6,6,6,1,1,287.251,41,467.218
247,83,1,7,2,4,4,4,4,4,2,1,287.451,42,235.557
248,83,2,7,2,4,4,4,4,4,2,1,288.387,42,253.27
249,83,3,7,2,4,4,4,4,4,2,1,286.961,41,237.261
250,84,1,6,2,13,13,13,13,13,0,1,288.567,42,152.145
251,84,2,6,2,13,13,13,13,13,0,1,287.586,42,153.427
252,84,3,6,2,13,13,13,13,13,0,1,287.421,42,230.375
253,85,1,6,3,6,6,6,6,6,1,1,287.15,42,153.388
254,85,2,6,3,6,6,6,6,6,1,1,287.907,42,154.051
255,85,3,6,3,6,6,6,6,6,1,1,286.927,41,151.635
256,86,1,5,1,5,5,5,5,5,1,1,287.465,41,147.314
257,86,2,5,1,5,5,5,5,5,1,1,287.403,42,146.696
258,86,3,5,1,5,5,5,5,5,1,1,287.651,42,146.933
259,87,1,5,2,6,6,6,6,6,3,1,287.605,42,150.672
260,87,2,5,2,6,6,6,6,6,3,1,287.52,42,149.444
261,87,3,5,2,6,6,6,6,6,3,1,287.356,42,165.677
262,88,1,7,2,5,5,5,5,5,2,1,287.306,42,156.938
263,88,2,7,2,5,5,5,5,5,2,1,287.442,41,155.585
264,88,3,7,2,5,5,5,5,5,2,1,287.137,42,159.384
265,89,1,3,2,2,2,2,2,2,0,1,287.185,41,158.259
266,89,2,3,2,2,2,2,2,2,0,1,287.036,42,158.316
267,89,3,3,2,2,2,2,2,2,0,1,287.452,41,158.193
268,90,1,4,1,6,6,6,6,6,0,1,287.303,42,165.117
269,90,2,4,1,6,6,6,6,6,0,1,287.454,41,158.345
270,90,3,4,1,6,6,6,6,6,0,1,287.577,42,153.7
271,91,1,4,0,4,4,4,4,4,1,0,287.572,42,171.348
272,91,2,4,0,4,4,4,4,4,1,0,287.364,42,176.118
273,91,3,4,0,4,4,4,4,4,1,0,287.165,41,182.156
274,92,1,4,2,4,4,4,4,4,0,1,287.77,41,208.861
275,92,2,4,2,4,4,4,4,4,0,1,287.642,42,216.964
276,92,3,4,2,4,4,4,4,4,0,1,287.226,42,237.661
277,93,1,3,2,2,2,2,2,2,0,1,287.853,42,181.281
278,93,2,3,2,2,2,2,2,2,0,1,286.987,42,178.472
279,93,3,3,2,2,2,2,2,2,0,1,287.044,41,173.999
280,94,1,5,2,4,4,4,4,4,1,1,287.285,42,181.809
281,94,2,5,2,4,4,4,4,4,1,1,286.851,42,166.576
282,94,3,5,2,4,4,4,4,4,1,1,287.439,42,166.628
283,95,1,8,3,6,6,6,6,6,2,1,287.737,42,186.067
284,95,2,8,3,6,6,6,6,6,2,1,287.686,41,187.869
285,95,3,8,3,6,6,6,6,6,2,1,287.123,41,183.474
286,96,1,6,3,5,5,5,5,5,1,1,287.514,42,154.134
287,96,2,6,3,5,5,5,5,5,1,1,287.096,42,150.475
288,96,3,6,3,5,5,5,5,5,1,1,287.453,42,148.191
289,97,1,2,1,2,2,2,2,2,0,1,287.393,42,143.162
290,97,2,2,1,2,2,2,2,2,0,1,287.56,41,142.701
291,97,3,2,1,2,2,2,2,2,0,1,287.091,42,156.199
292,98,1,5,2,8,8,8,8,8,0,1,287.666,42,151.812
293,98,2,5,2,8,8,8,8,8,0,1,287.472,42,143.96
294,98,3,5,2,8,8,8,8,8,0,1,287.408,42,143.673
295,99,1,5,2,3,3,3,3,3,1,1,286.982,42,579.512
296,99,2,5,2,3,3,3,3,3,1,1,287.787,41,570.792
297,99,3,5,2,3,3,3,3,3,1,1,287.431,41,576.159
298,100,1,7,2,5,5,5,5,5,2,1,287.508,41,155.288
299,100,2,7,2,5,5,5,5,5,2,1,286.946,42,158.264
300,100,3,7,2,5,5,5,5,5,2,1,287.239,41,158.529
301,101,1,7,2,41,41,41,41,41,0,1,287.11,42,151.983
302,101,2,7,2,41,41,41,41,41,0,1,287.335,42,148.917
303,101,3,7,2,41,41,41,41,41,0,1,287.535,42,150.842
304,102,1,4,1,11,11,11,11,11,0,1,286.866,42,160.334
305,102,2,4,1,11,11,11,11,11,0,1,286.887,42,162.548
306,102,3,4,1,11,11,11,11,11,0,1,287.484,41,175.411
307,103,1,4,1,3,3,3,3,3,1,1,287.593,42,146.446
308,103,2,4,1,3,3,3,3,3,1,1,287.698,41,146.812
309,103,3,4,1,3,3,3,3,3,1,1,287.261,42,152.817
310,104,1,6,3,6,6,6,6,6,1,1,287.47,41,167.275
311,104,2,6,3,6,6,6,6,6,1,1,287.139,42,162.761
312,104,3,6,3,6,6,6,6,6,1,1,287.379,42,167.904
313,105,1,6,2,3,3,3,3,3,1,1,287.434,42,1939.53
314,105,2,6,2,3,3,3,3,3,1,1,287.187,42,1937.16
315,105,3,6,2,3,3,3,3,3,1,1,287.497,42,1947.08
316,106,1,6,2,8,8,8,8,8,0,1,287.2,41,734.233
317,106,2,6,2,8,8,8,8,8,0,1,287.242,41,783.498
318,106,3,6,2,8,8,8,8,8,0,1,287.832,42,705.326
319,107,1,7,4,5,5,5,5,5,2,1,287.151,42,160.248
320,107,2,7,4,5,5,5,5,5,2,1,291.071,42,174.529
321,107,3,7,4,5,5,5,5,5,2,1,287.249,41,161.831
322,108,1,,,,,,,,,,,,
323,108,2,,,,,,,,,,,,
324,108,3,,,,,,,,,,,,
325,109,1,5,1,11,11,11,11,11,0,1,286.76,42,153.381
326,109,2,5,1,11,11,11,11,11,0,1,287.237,41,150.874
327,109,3,5,1,11,11,11,11,11,0,1,287.222,42,150.709
328,110,1,4,1,3,3,3,3,3,1,1,286.923,42,269.083
329,110,2,4,1,3,3,3,3,3,1,1,287.586,41,272.345
330,110,3,4,1,3,3,3,3,3,1,1,286.884,42,265.949
